Test 1,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)"
0,-0.000893765724096475,-0.00918318638671805,0.0008992184512238155,8.17471319294466e-05,-0.0009747952963893719,0.0,0.0033857260349081236,0.0,0.002762053340089426,0.006681726094761059,0.00017819610710040346,0.0
1,-0.04951147802070355,-0.10827778357646128,-0.20987501304703804,-0.12953409209518507,-0.09561753735211329,0.0,-0.3937110481586397,0.0,-0.18138945904225504,-0.334472773056342,-0.6175637393767701,0.0
2,-0.04861771229660707,-0.09909459718974324,-0.21077423149826185,-0.1296158392271145,-0.09464274205572393,0.0,-0.39709677419354783,0.0,-0.18415151238234448,-0.3411544991511031,-0.6177419354838705,0.0

Test 2,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)"
0,0.003981596043201363,0.007034408682198179,0.004225445876787942,0.000384131443344371,0.008576989517328465,0.0,0.009636297176277037,0.0,0.0061857825060834815,0.013619109762282228,0.0005071735355935414,0.0
1,-0.042359867147786764,-0.09514980205253759,-0.18533705461820996,-0.1109397322380187,-0.08152345921942664,0.0,-0.3513314447592062,0.0,-0.1546777832437103,-0.28529430280138435,-0.5269121813031157,0.0
2,-0.04634146319098813,-0.10218421073473577,-0.1895625004949979,-0.11132386368136307,-0.0901004487367551,0.0,-0.3609677419354832,0.0,-0.16086356574979377,-0.29891341256366655,-0.5274193548387092,0.0

Test 3,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(2, 0)","(2, 1)","(2, 2)","(2, 3)"
0,-0.34271382828105423,-0.7226276692504643,-0.1586840245954071,-0.13880640601755734,-0.7305413833363117,0.0,-0.2890308020800145,-0.3098297112172723,-0.1693879983494604,-0.31097882316292935,-0.015212147477895566,0.0
1,-0.1317740901665161,-0.2564326547774287,-0.483223473249212,-0.5649064985920644,-0.26474647494435244,0.0,-0.9022662889518411,0.0,-0.5019295686247904,-0.9246144161158316,-1.705382436260623,0.0
2,0.21093973811453814,0.4661950144730356,-0.3245394486538049,-0.4261000925745071,0.46579490839195925,0.0,-0.6132354868718266,0.3098297112172723,-0.33254157027533005,-0.6136355929529023,-1.6901702887827272,0.0

Test 4,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(0, 11)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.00036621093750333067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007324218750017764,-0.0014648437500017764,-0.0029296875000017764,-0.005859375000001776,-0.011718750000001776,-0.023437500000001776,-0.046875000000001776,-0.09375000000000178,-0.18750000000000133,-0.37500000000000044,-0.7499999999999993,-1.4999999999999996,-0.0003662109408197889,-0.0007324218750017764,-0.0014648437500017764,-0.0029296875000017764,-0.005859375000001776,-0.011718750000001776,-0.023437500000001776,-0.046875000000001776,-0.09375000000000178,-0.18750000000000133,-0.37500000000000044,-0.7499999999999993,-0.00018311006213633796,-0.0003662109422402082,-0.0007324218757824852,-0.0014648437501474376,-0.002929687500064837,-0.005859375000021538,-0.011718750000007994,-0.023437500000002442,-0.046875000000001776,-0.09375000000000178,-0.18750000000000133,-0.37500000000000044
2,-0.00036621093750333067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007324218750017764,-0.0014648437500017764,-0.0029296875000017764,-0.005859375000001776,-0.011718750000001776,-0.023437500000001776,-0.046875000000001776,-0.09375000000000178,-0.18750000000000133,-0.37500000000000044,-0.7499999999999993,-1.4999999999999996,-0.0003662109408197889,-0.0007324218750017764,-0.0014648437500017764,-0.0029296875000017764,-0.005859375000001776,-0.011718750000001776,-0.023437500000001776,-0.046875000000001776,-0.09375000000000178,-0.18750000000000133,-0.37500000000000044,-0.7499999999999993,-0.00018311006213633796,-0.0003662109422402082,-0.0007324218757824852,-0.0014648437501474376,-0.002929687500064837,-0.005859375000021538,-0.011718750000007994,-0.023437500000002442,-0.046875000000001776,-0.09375000000000178,-0.18750000000000133,-0.37500000000000044

Test 5,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(0, 7)","(0, 8)","(0, 9)","(0, 10)","(0, 11)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(1, 7)","(1, 8)","(1, 9)","(1, 10)","(1, 11)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(2, 7)","(2, 8)","(2, 9)","(2, 10)","(2, 11)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(3, 7)","(3, 8)","(3, 9)","(3, 10)","(3, 11)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(4, 7)","(4, 8)","(4, 9)","(4, 10)","(4, 11)","(5, 0)","(5, 1)","(5, 2)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(5, 7)","(5, 8)","(5, 9)","(5, 10)","(5, 11)"
0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,0.0,0.0,-4.440892098500626e-16,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.0,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,4.440892098500626e-16,2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,-4.440892098500626e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0
1,-0.0007292782890635507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013988187927518325,-0.0027905734792523784,-0.005558996324500409,-0.01106971740176732,-0.022034541497047977,-0.04384105887294032,-0.08718614999236163,-0.1732925914612622,-0.3442191027511088,-0.6826794274089756,-1.328649326658825,-1.610991008375867,-0.0005986201163390437,-0.0011760572390449031,-0.002305965255498421,-0.004511710180506334,-0.008805674089287674,-0.01713800907934271,-0.033246519408902,-0.06425268920594362,-0.12362733839856088,-0.23662825927494913,-0.4501279239204541,-0.8512298993509242,-0.0002783195770494906,-0.0005470758587591273,-0.0010742993962855607,-0.0021074937112643966,-0.004130133646264467,-0.008085704940506089,-0.015813720656693953,-0.030897885602352515,-0.06031576624220203,-0.11764831302078238,-0.2293294418426468,-0.4468325033374183,-0.0001374399883629085,-0.0002709552263691073,-0.0005338581697877931,-0.0010511013873699682,-0.002067920332149864,-0.004065091720370839,-0.007984116016473752,-0.015666442528482483,-0.030708676915397914,-0.06012430838865801,-0.11756468971184786,-0.2332833269175747,-6.724190632123594e-05,-0.00013240937691860744,-0.00026158117362484745,-0.0005167342175933509,-0.0010204994529969813,-0.002014813823846051,-0.003976829912136548,-0.007847381255567276,-0.015481259460148555,-0.030534607758589516,-0.060213910703885265,-0.12123240500524757
2,-0.0007292782890631067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013988187927518325,-0.0027905734792526005,-0.005558996324500631,-0.01106971740176732,-0.0220345414970482,-0.04384105887294032,-0.08718614999236163,-0.1732925914612622,-0.3442191027511088,-0.6826794274089756,-1.3286493266588248,-1.610991008375867,-0.0005986201163390437,-0.0011760572390451252,-0.002305965255498421,-0.004511710180506112,-0.008805674089287896,-0.01713800907934271,-0.033246519408901776,-0.06425268920594362,-0.12362733839856088,-0.23662825927494913,-0.45012792392045364,-0.851229899350924,-0.00027831957704971266,-0.0005470758587593494,-0.0010742993962855607,-0.0021074937112643966,-0.004130133646264245,-0.008085704940505867,-0.01581372065669373,-0.030897885602352293,-0.06031576624220181,-0.11764831302078216,-0.2293294418426468,-0.4468325033374181,-0.0001374399883629085,-0.00027095522636932934,-0.0005338581697877931,-0.0010511013873704123,-0.002067920332150086,-0.004065091720370839,-0.00798411601647353,-0.01566644252848226,-0.030708676915398136,-0.06012430838865823,-0.11756468971184786,-0.2332833269175747,-6.724190632123594e-05,-0.00013240937691860744,-0.00026158117362440336,-0.0005167342175931289,-0.0010204994529969813,-0.002014813823846051,-0.003976829912136548,-0.007847381255567276,-0.015481259460148777,-0.030534607758589516,-0.060213910703885265,-0.12123240500524757

Test 6,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)"
0,1.1102230246251565e-16,2.7755575615628914e-17,0.0,-1.1102230246251565e-16,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0,-1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.5505894776124477,-1.077525769836077,-0.5504413158306495,-0.5257384576245591,0.0,-1.077525769836077,0.0,-1.0717474603459443,-0.8458561624061253,-0.42209607385131687,-0.5504413158306495,-1.0717474603459443,-0.8194570980071352,-1.6161334978915511,-0.8258828176549462,-0.5257384576245591,-0.8458561624061253,-1.6161334978915511,0.0,-1.6162942439250756,0.0,-0.42209607385115766,-0.8258828176549462,-1.6162942439250756,-0.8258869393481135
2,-0.5505894776124478,-1.077525769836077,-0.5504413158306495,-0.525738457624559,0.0,-1.077525769836077,0.0,-1.0717474603459443,-0.8458561624061254,-0.42209607385131687,-0.5504413158306495,-1.0717474603459443,-0.8194570980071352,-1.6161334978915511,-0.8258828176549462,-0.525738457624559,-0.8458561624061254,-1.6161334978915511,0.0,-1.6162942439250756,0.0,-0.42209607385115766,-0.8258828176549462,-1.6162942439250756,-0.8258869393481135

Test 7,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)"
0,-2.7755575615628914e-17,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,-2.7755575615628914e-17,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,0.0,7.632783294297951e-17,5.551115123125783e-17,3.469446951953614e-17,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,5.551115123125783e-17,7.632783294297951e-17,1.1102230246251565e-16,0.0
1,-0.41295819594421823,-0.8081773495697113,-0.414135786844254,-0.38012015418033734,-0.1833486388270482,-0.8081773495697113,0.0,-0.8541033946711059,-0.7316567634190109,-0.35877648667080425,-0.414135786844254,-0.8541033946711059,0.0,-1.3987994808565856,-0.7019792342634643,-0.3801201541803373,-0.7316567634190109,-1.3987994808565856,0.0,-1.3737994808565857,-0.18334863882706914,-0.35877648667080425,-0.7019792342634643,-1.3737994808565857,0.0
2,-0.41295819594421823,-0.8081773495697113,-0.414135786844254,-0.3801201541803373,-0.1833486388270482,-0.8081773495697113,0.0,-0.8541033946711059,-0.7316567634190108,-0.3587764866708043,-0.414135786844254,-0.8541033946711059,0.0,-1.3987994808565856,-0.7019792342634644,-0.38012015418033734,-0.7316567634190109,-1.3987994808565858,0.0,-1.3737994808565857,-0.18334863882706914,-0.3587764866708043,-0.7019792342634644,-1.3737994808565857,0.0

Test 8,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(5, 0)","(5, 1)","(5, 2)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(6, 0)","(6, 1)","(6, 2)","(6, 3)","(6, 4)","(6, 5)","(6, 6)"
0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-2.7755575615628914e-17,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,6.938893903907228e-17,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,6.938893903907228e-17,2.220446049250313e-16,1.734723475976807e-16,0.0,0.0,1.1102230246251565e-16,8.326672684688674e-17,2.220446049250313e-16,0.0,4.440892098500626e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.7520707107365752e-16,4.440892098500626e-16,1.6653345369377348e-16
1,-0.05930376288656947,-0.11754129996560558,-0.1636918367006941,-0.3138391453340521,-0.6022021554498189,-1.1602168330453686,-0.6021345054575467,-0.030191781616983437,0.0,-0.3494317346407624,-0.6453265177484355,-1.1601062891836107,0.0,-1.1600423463151492,-0.05298937855238128,-0.10356163435519594,-0.16233071412706646,-0.3118408961657756,-0.5999236282224019,-1.1599318024692844,-0.598712421161904,-0.06047870254621013,-0.11480157519285328,-0.21495537858107105,-0.4171023797878556,-0.8089118554990582,-1.6154718568921909,-0.7847516571748516,-0.14441604874105607,-0.28532682311113566,-0.42495781905720265,-0.8089118555101493,-1.5338328591903678,-2.9019717031441363,-1.5056012036907864,-0.07648458950655335,0.0,-0.875406158488508,-1.6154718568921909,-2.9019717031441363,0.0,-2.900556395079405,-0.14831981741253375,-0.2938716927489966,-0.40939049557543616,-0.784751657180598,-1.505601203692397,-2.900556395876428,-1.5055267138155195
2,-0.05930376288656947,-0.11754129996560558,-0.1636918367006941,-0.3138391453340522,-0.6022021554498189,-1.1602168330453686,-0.6021345054575465,-0.03019178161698355,0.0,-0.3494317346407624,-0.6453265177484355,-1.1601062891836107,0.0,-1.1600423463151492,-0.052989378552381394,-0.10356163435519605,-0.16233071412706657,-0.3118408961657756,-0.5999236282224018,-1.1599318024692844,-0.5987124211619039,-0.06047870254621024,-0.11480157519285328,-0.21495537858107094,-0.4171023797878556,-0.8089118554990583,-1.6154718568921909,-0.7847516571748516,-0.14441604874105596,-0.28532682311113566,-0.42495781905720265,-0.8089118555101493,-1.533832859190368,-2.9019717031441363,-1.5056012036907866,-0.07648458950655335,0.0,-0.8754061584885081,-1.6154718568921909,-2.9019717031441363,0.0,-2.9005563950794055,-0.14831981741253364,-0.2938716927489965,-0.40939049557543616,-0.7847516571805981,-1.5056012036923971,-2.9005563958764284,-1.5055267138155197

Test 9,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(5, 0)","(5, 1)","(5, 2)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(6, 0)","(6, 1)","(6, 2)","(6, 3)","(6, 4)","(6, 5)","(6, 6)"
0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,-2.7755575615628914e-17,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,6.938893903907228e-17,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,6.938893903907228e-17,2.220446049250313e-16,1.734723475976807e-16,0.0,0.0,1.1102230246251565e-16,8.326672684688674e-17,2.220446049250313e-16,0.0,4.440892098500626e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.7520707107365752e-16,4.440892098500626e-16,1.6653345369377348e-16
1,-0.05930376288659822,-0.11754129996560558,-0.1636918367006941,-0.3138391453340521,-0.6022021554498189,-1.1602168329890934,-0.6021345054468414,-0.030191964952536954,0.0,-0.3494317346407624,-0.6453265177484355,-1.1601062891836107,0.0,-1.1600423463310425,-0.05298937855236929,-0.10356163435519594,-0.16233071412706646,-0.3118408961657756,-0.5999236282224019,-1.1599318024692844,-0.5987124211626413,-0.06047878680635743,-0.11480157479778974,-0.2149553785764735,-0.4171023797878556,-0.8089118555093626,-1.6154718568921513,-0.7847516571269777,-0.14441604874105607,-0.28532682311113566,-0.42495781905720265,-0.8089118555101493,-1.5338328591903678,-2.9019717031441363,-1.505601203692397,-0.07647912999044149,0.0,-0.875406158488508,-1.6154718568921909,-2.9019717031441363,0.0,-2.900556395694097,-0.1483198174125323,-0.2938716927489966,-0.40939049557543616,-0.7847516571791572,-1.5056012036923627,-2.900556395876428,-1.505526713829348
2,-0.05930376288659822,-0.11754129996560558,-0.1636918367006941,-0.3138391453340522,-0.6022021554498189,-1.1602168329890934,-0.6021345054468413,-0.030191964952537065,0.0,-0.3494317346407624,-0.6453265177484355,-1.1601062891836107,0.0,-1.1600423463310425,-0.052989378552369404,-0.10356163435519605,-0.16233071412706657,-0.3118408961657756,-0.5999236282224018,-1.1599318024692844,-0.5987124211626412,-0.06047878680635754,-0.11480157479778974,-0.2149553785764734,-0.4171023797878556,-0.8089118555093626,-1.6154718568921513,-0.7847516571269777,-0.14441604874105596,-0.28532682311113566,-0.42495781905720265,-0.8089118555101493,-1.533832859190368,-2.9019717031441363,-1.5056012036923971,-0.07647912999044149,0.0,-0.8754061584885081,-1.6154718568921909,-2.9019717031441363,0.0,-2.9005563956940974,-0.1483198174125322,-0.2938716927489965,-0.40939049557543616,-0.7847516571791573,-1.505601203692363,-2.9005563958764284,-1.5055267138293482

Test 10,"(0, 0)","(0, 1)","(0, 2)","(0, 3)","(0, 4)","(0, 5)","(0, 6)","(1, 0)","(1, 1)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(2, 0)","(2, 1)","(2, 2)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(3, 0)","(3, 1)","(3, 2)","(3, 3)","(3, 4)","(3, 5)","(3, 6)","(4, 0)","(4, 1)","(4, 2)","(4, 3)","(4, 4)","(4, 5)","(4, 6)","(5, 0)","(5, 1)","(5, 2)","(5, 3)","(5, 4)","(5, 5)","(5, 6)","(6, 0)","(6, 1)","(6, 2)","(6, 3)","(6, 4)","(6, 5)","(6, 6)"
0,-0.0017375237208369643,-0.004095147582647618,-0.04740424727093506,-0.08750113064482457,-3.2300627617054545e-08,-1.9180660670858884e-09,-6.060693669152073e-09,-0.00025177003472287574,0.0,-0.20067165298916978,0.0,-5.983673968257275e-07,0.0,-1.4154389216258778e-08,-0.0012837166958376,-0.003062260924339033,-0.0433971258077992,-0.08283273237278554,-1.1935047309036273e-05,-6.10603720002656e-07,-2.770270907392902e-07,-0.0009244764873185818,-0.0020705469978928304,-0.004609004184528864,-0.004556982473449156,-0.00023321774902414216,-1.193220954348595e-05,-6.415576661589206e-07,-0.0006414370673901715,-0.0014766455572858828,-0.012327098095183897,-0.0064411751040052145,-1.1930037186302922e-05,-5.981105224428518e-07,-3.217326421944833e-08,-9.110040219917348e-05,0.0,-0.1904035568871068,0.0,-5.981105224428518e-07,0.0,-1.647687319916713e-09,-0.000451767758998578,-0.0010615608773465457,-0.012286962769158638,-0.0053810919658634215,-3.217326421944833e-08,-1.647687319916713e-09,-7.804834001312599e-10
1,-0.04478081403319828,-0.08888028979800144,-0.13115766354282543,-0.24239583080945065,-0.45164061932126426,-0.870158148386764,-0.4515223484140003,-0.022606296982802365,0.0,-0.08407901717325583,0.0,-0.8699065800095539,0.0,-0.8698458088980412,-0.038986964927845535,-0.07603661217315244,-0.12778986651416746,-0.2375013216995871,-0.44649098087697736,-0.8695942405581107,-0.44539383028518825,-0.05509107429235066,-0.10479130150263,-0.1967077958485675,-0.3780972652763357,-0.7281591130647513,-1.4539317544209214,-0.7062768722959964,-0.13074768154982364,-0.25862705109087203,-0.4065879282465801,-0.7491710793091635,-1.3804566551997224,-2.6117748878810794,-1.3550411024219036,-0.0689714832291976,0.0,-0.2541821346097229,0.0,-2.6117748878810794,0.0,-2.6105007572395227,-0.13440995058497968,-0.266656886471257,-0.39359768707010745,-0.7272404899652899,-1.3550411024219036,-2.6105007572668883,-1.3549740429153785
2,-0.043043290312361315,-0.08478514221535383,-0.08375341627189037,-0.1548947001646261,-0.45164058702063664,-0.8701581464686979,-0.45152234235330657,-0.02235452694807949,0.0,0.11659263581591395,0.0,-0.869905981642157,0.0,-0.869845794743652,-0.037703248232007935,-0.07297435124881341,-0.08439274070636826,-0.15466858932680155,-0.44647904582966835,-0.8695936299543907,-0.4453935532580975,-0.05416659780503208,-0.10272075450473717,-0.19209879166403865,-0.37354028280288654,-0.7279258953157272,-1.453919822211378,-0.7062762307383303,-0.13010624448243346,-0.25715040553358615,-0.39426083015139624,-0.7427299042051583,-1.380444725162536,-2.6117742897705574,-1.3550410702486393,-0.06888038282699843,0.0,-0.06377857772261608,0.0,-2.6117742897705574,0.0,-2.6105007555918354,-0.1339581828259811,-0.26559532559391047,-0.3813107243009488,-0.7218593979994264,-1.3550410702486393,-2.610500755619201,-1.354974042134895

